title;description;url;image
Workout Planner App;A workout planner app to help you plan your exercises for that day.;https://github.com/Aopandey/Workouts-Planner-App/tree/master;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Aopandey/Portfolio;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Aopandey/PDF-Template-Generator-;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Aopandey/PDF-Invoices-generator;4.png
Weather Forecast Data App;A Streamlit web app leveraging the OpenWeatherMap API to offer customizable weather forecasts, displaying temperature trends or sky conditions for any city over up to five days. ;https://github.com/Aopandey/Weather-Forecast-App-;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Aopandey/Weather-Station-Data-Hub/tree/master;6.png
ATM System;A Java-based ATM simulation system featuring user authentication, role-based functionalities, and account management through console-based interactions.;https://github.com/Aopandey/ATM-System;atm-machine.png
Virtual Pet;This project is a Java-based console application for managing virtual pets, supporting creation, customization, and serialization for persistent storage.; https://github.com/Aopandey/Virtual-Pet-;virtual-pet.png
Horse Race;This project is a C++ console application that simulates a randomized horse race using object-oriented programming and procedural generation.; https://github.com/Aopandey/Horse-Race-;horse.png
Student Record;This project is a C++ student management system that handles student data, including personal and academic details, through object-oriented design and file I/O operations.; https://github.com/Aopandey/Student-Record;record.png
Snake Game;This C++ project is a Windows console-based snake game featuring dynamic snake movement, food generation, collision detection, and user input handling via the Windows API.;https://github.com/Aopandey/Snake-Game;snake.png
Data Parsing and Summation Tool;This C++ program sums integers from "input.txt" to replicate text strings into "output.txt", demonstrating basic file and string manipulation.;https://github.com/Aopandey/Data-Parsing-and-Summation-Tool;data.png